Effect Name,StartTime,EndTime,Duration,Description,Element,ElementType,Files
"On",00:05.400,00:05.500,00:00.100,"","RedSpotlights",Model Group,
"On",00:05.600,00:05.700,00:00.100,"","RedSpotlights",Model Group,
"On",00:05.800,00:05.900,00:00.100,"","RedSpotlights",Model Group,
"On",00:06.000,00:06.100,00:00.100,"","RedSpotlights",Model Group,
"On",00:06.200,00:06.300,00:00.100,"","RedSpotlights",Model Group,
"On",00:06.400,00:06.500,00:00.100,"","RedSpotlights",Model Group,
"On",00:06.600,00:06.700,00:00.100,"","RedSpotlights",Model Group,
"On",00:06.800,00:06.900,00:00.100,"","RedSpotlights",Model Group,
"On",01:40.900,01:41.100,00:00.200,"","RedSpotlights",Model Group,
"On",01:52.250,01:52.350,00:00.100,"","RedSpotlights",Model Group,
"On",01:52.450,01:52.550,00:00.100,"","RedSpotlights",Model Group,
"On",01:52.650,01:52.750,00:00.100,"","RedSpotlights",Model Group,
"On",01:52.850,01:52.950,00:00.100,"","RedSpotlights",Model Group,
"On",01:53.050,01:53.150,00:00.100,"","RedSpotlights",Model Group,
"On",01:53.250,01:53.350,00:00.100,"","RedSpotlights",Model Group,
"On",01:53.450,01:53.550,00:00.100,"","RedSpotlights",Model Group,
"On",01:53.650,01:53.750,00:00.100,"","RedSpotlights",Model Group,
"On",02:45.800,02:46.000,00:00.200,"","RedSpotlights",Model Group,
"On",02:46.200,02:46.400,00:00.200,"","RedSpotlights",Model Group,
"On",02:46.600,02:46.800,00:00.200,"","RedSpotlights",Model Group,
"On",02:47.000,02:47.200,00:00.200,"","RedSpotlights",Model Group,
"On",02:47.400,02:47.600,00:00.200,"","RedSpotlights",Model Group,
"On",02:47.800,02:48.000,00:00.200,"","RedSpotlights",Model Group,
"On",02:48.200,02:48.400,00:00.200,"","RedSpotlights",Model Group,
"On",02:48.600,02:48.800,00:00.200,"","RedSpotlights",Model Group,
"On",02:50.650,02:50.850,00:00.200,"","RedSpotlights",Model Group,
"On",02:51.050,02:51.250,00:00.200,"","RedSpotlights",Model Group,
"On",02:51.450,02:51.650,00:00.200,"","RedSpotlights",Model Group,
"On",02:51.850,02:52.050,00:00.200,"","RedSpotlights",Model Group,
"On",02:52.250,02:52.450,00:00.200,"","RedSpotlights",Model Group,
"On",02:52.650,02:52.850,00:00.200,"","RedSpotlights",Model Group,
"On",02:53.050,02:53.250,00:00.200,"","RedSpotlights",Model Group,
"On",02:53.450,02:53.650,00:00.200,"","RedSpotlights",Model Group,
"On",02:53.850,02:54.050,00:00.200,"","RedSpotlights",Model Group,
"On",02:54.250,02:54.450,00:00.200,"","RedSpotlights",Model Group,
