Effect Name,StartTime,EndTime,Duration,Description,Element,ElementType,Files
"On",00:05.650,00:06.650,00:01.000,"","RedSpotlight3",Model,
"On",00:11.350,00:11.650,00:00.300,"","RedSpotlight3",Model,
"On",00:11.800,00:12.600,00:00.800,"","RedSpotlight3",Model,
"On",00:13.450,00:13.750,00:00.300,"","RedSpotlight3",Model,
"On",00:13.900,00:14.700,00:00.800,"","RedSpotlight3",Model,
"On",00:16.500,00:19.850,00:03.350,"","RedSpotlight3",Model,
"On",00:05.650,00:06.650,00:01.000,"","RedSpotlight2",Model,
"On",00:11.350,00:11.650,00:00.300,"","RedSpotlight2",Model,
"On",00:11.800,00:12.600,00:00.800,"","RedSpotlight2",Model,
"On",00:13.450,00:13.750,00:00.300,"","RedSpotlight2",Model,
"On",00:13.900,00:14.700,00:00.800,"","RedSpotlight2",Model,
"On",00:16.500,00:19.850,00:03.350,"","RedSpotlight2",Model,
"On",00:05.650,00:06.650,00:01.000,"","RedSpotlight1",Model,
"On",00:11.350,00:11.650,00:00.300,"","RedSpotlight1",Model,
"On",00:11.800,00:12.600,00:00.800,"","RedSpotlight1",Model,
"On",00:13.450,00:13.750,00:00.300,"","RedSpotlight1",Model,
"On",00:13.900,00:14.700,00:00.800,"","RedSpotlight1",Model,
"On",00:16.500,00:19.850,00:03.350,"","RedSpotlight1",Model,
"On",00:10.400,00:12.150,00:01.750,"","WhiteWindow2",Model,
"On",00:12.750,00:14.500,00:01.750,"","WhiteWindow2",Model,
"On",00:14.800,00:19.850,00:05.050,"","WhiteWindow2",Model,
"On",00:10.200,00:12.150,00:01.950,"","WhiteWindow1",Model,
"On",00:12.550,00:14.500,00:01.950,"","WhiteWindow1",Model,
"On",00:14.650,00:19.850,00:05.200,"","WhiteWindow1",Model,
"On",00:10.800,00:12.150,00:01.350,"","WhiteWindow4",Model,
"On",00:13.150,00:14.500,00:01.350,"","WhiteWindow4",Model,
"On",00:15.150,00:19.850,00:04.700,"","WhiteWindow4",Model,
"On",00:04.650,00:04.950,00:00.300,"","WhiteTree2",Model,
